kana,kanji,english
ohayou gozaimasu,おはよう ございます,good morning
konnichiwa,こんいちわ,good day
konbanwa,こんばんわ,good evening
irasshaimase,いらっしゃいませ,welcome
sayounara,さようなら,goodbye
ja mata,じゃ また,see you later
hajime mashite,はじめ まして,nice to meet you (first time)
yoroshiku onegaishimasu,よろしく おねがいします,nice to meet you / let's work together
watashi wa,わたし わ,i am

apato,アパート,apartment
depato,デパート,department store
konbini,コンビニ,convencience store
hoteru,ホテル,western hotel
ryokan,りょかん,japanese hotel
restoran,レストラン,resturant

mise,みせ,shop
kouen,こうえん,park
ginkou,ぎんこう,bank
byouin,びょういん,hospital
yuubinkyoku,ゆうびんきょく,post office

subarashii,すばらしい,wonderful
oishii,おいしい,delicious
atarashii,あたらしい,new
fuku,ふく,clothes
ooki,おおき,big
chiisai,ちいさい,small

kasa,かさ,umbrella
kaban,かばん,bag
kami,かみ,paper
keitai denwa,けいたいでんわ,cell phone

keeki,ケーキ,cake
koohii,コーヒー,coffee
chiketto,チケット,ticket
aatisuto,??,artist

bento,べんと,packed lunch
sandoichi,サンドイチ,sandwich
okashi,おかし,candy
nomimono,のみもの,drink beverage
aisu kurimu,アイス クリーム,ice cream

okane,おかね,money
en,えん,yen
doru,ドル,dollar
yu-ro,ユーロ,euro

shatsu,シャツ,shirt
zubon,ズボン,pants
sukato,スカート,skirt
beruto,ベルト,belt
botan,ボタン,button

fuku,ふく,clothes
megane,めがね,glasses
kutsu,くつ,shoes
kutsushita,くつした,socks
kimono,きもの,kimono

nomimasu,のみます,to drink
mizu o nomimasu,みず　を　のみます,i drink water
nomimasen,のみません,to not drink
mizu o nomimasen,みず　を　のみません,i don't drink water
nomimashita,のみました,drank
mizu o nomimashita,みず　を　のみました,i have drunk water
nomimasen deshita,のいません でした,have not drunk
mizu o nomimasen denshita,みず　を　のみません　でんした,i haven't drunk water

tabemasu,たべます,to eat
sushi o tabemasu,すし　を　たべます,i eat sushi / i will eat sushi
tabemasen,たべません,to not eat
tabemashita,たべました,ate
gohan o tabemashita,ごはん　を　たべました,i ate rice
tabemasen deshita,たべません　でした,have not eaten

ongaku,おんがく,music
uta,うた,song
gitaa,ギター,guitar
piano,ピアノ,piano
bando,バンド,band
kurashikaru,クラシカル,classical

konpyuuta,コンピュータ,computer
terebi,テレビ,television
toire,トイレ,toilet
beddo,ベッド,bed
sofaa,ソファー,sofa

houki,ほうき,broom
hashi (tabemasu),はし (たべます),chopsticks
kagu,かぐ,furniture
kagi,かぎ,key
osara,おさら,plate

ingurango,イングランド,england
furansu,フランス,france
amerika,アメリカ,america
oosutoraria,オーストラリア,australia
indo,インド,india

kanashii desu,かなしい です,i'm sad
taikutsu desu,たいくつ です,i'm bored
ureshii desu,うれしい です,i'm happy

tsukaimasu,つかいます,to use
hashi o tsukaimasu,はし を つかいます,use chopsticks
hanashimasu,はなします,to speak
nihongo o hanashimasu,にほんご　を　はなします,speak japanese
kikimasu,ききます,to listen
ongaku o kikimasu,おんがく　を　ききます,listen to music
