romanji,hiragana,english

hai,はい,yes
iie,いいえ,no
watashi,わたち,i
anata,あなた,you
pen,ぺん,pen
enpitsu,えんぴつ,pencil
tsukue,つくえ,desk
isu,いす,chair
hon,ほん,book
noto,のと,notebook

inu,いぬ,dog
neko,ねこ,cat
uma,うま,horse
buta,ぶた,pig
ika,いか,squid
ahiru,あひる,duck
ushi,うし,cow
sakana,さかな,fish
tori,とり,bird
kame,かめ,turtle

densha,でんしゃ,train
jitensha,じてんしゃ,bicycle
jidousha,じどうしゃ,car
hikouki,ひこうき,airplane
basu,ばす,bus
fune,ふね,boat
eki,えき,station
kuukou,くうこう,airport
shinkansen,しんかんせん,bullet train
kippu,きっぷ,ticket

san,さん (じん),sir mr. mrs. miss
sensei,せんせい,teacher
tomodachi,ともだち,friend
kazoku,かぞく,family
otousan,おとうさん,father
okaasan,おかあさん,mother
oniisan,おにいさん,older brother
otouto,おとうと,younger brother
oneesan,おねえさん,older sister
imouto,いもうと,younger sister

kudamono,くだもの,fruit
yasai,やさい,vegetable
mizu,みず,water
ocha,おちゃ,green tea
gyuunyuu,ぎゅうにゅう,milk
niku,にく,meat
pan,ぱん,bread
asagohan,あさごはん,breakfast
hirugohan,ひるごはん,lunch
bangohan,ばんごはん,dinner

ushi,うち,house
heya,へや,room
beddo,べっど,bed
makura,まくら,pillow
moufu,もうふ,blanket
ofuro,おふろ,bath
mado,まど,window
taoru,たおる,towel
kagami,かがみ,mirror
denwa,でんわ,telephone

ichi,いち,1
ni,に,2
san,さん (いち に etc),3
yon,よん,4
go,ご,5
roku,ろく,6
nana,なな,7
hachi,はち,8
kyuu,きゅう,9
juu,じゅう,10

kisetsu,きせつ,seasons
haru,はる,spring
aki,あき,autumn
natsu,なつ,summer
fuyu,ふゆ,winter
kyou,きょう,today
ashita,あした,tomorrow
kinou,きのう,yesterday

kissaten,きっさてん,cafe
okashi,おかし,candy
keki,けき,cake

yuki,ゆき,snow
hashi,はし,bridge
kawa,かわ,river
hana,はな,flower
ki,き,tree

katana,かたな,sword
wakizashi,わきざし,small sword
yumi,ゆみ,bow
naginata,なぎなた,spear
